State,County,Operational,Shutdown,Potential,Any Landfill,ACSTOTPOP,ACSTOTHH,MINORPOP,LOWINCOME,UNEMPLOYED,LESSHS,PM25,OZONE,DSLPM,CANCER,RESP,PTRAF,PNPL,PRMP,PTSDF,UST,PWDIS,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT
AL,Cherokee,1.0,0.0,0.0,1.0,26035,10836,2256,9798,444,3288,8.858867605,39.91658003,0.118217563,30.0,0.4,3.399885708,0.028069204,0.156849783,0.190178773,0.329340905,0.001707919,57344834.0,4812432.28,0.0,0.04
AL,Chilton,0.0,0.0,1.0,1.0,44147,17140,8864,16957,1153,5485,9.068018048,37.78864671,0.136949395,32.1875,0.5,51.16152261,0.018276551,0.126084374,0.254324202,1.098076371,0.01460935,56076213.59,643503.625,0.0,0.0625
AL,Coffee,0.0,0.0,1.0,1.0,52238,19951,15870,17574,1266,5158,8.225845776,34.81859595,0.097660914,30.0,0.488888889,99.33770468,0.020582286,0.11939009,0.299856218,0.715240445,0.003508787,48849053.56,108533.0278,0.0,0.055555556
AL,Colbert,0.0,0.0,1.0,1.0,54957,21797,12081,19118,979,5590,8.188319899,38.52902189,0.174693625,30.0,0.4,185.1648255,0.016000721,0.506969645,0.458746701,2.843479776,0.440561298,31341678.98,1615518.286,0.0,0.102040816
AL,Cullman,0.0,0.0,1.0,1.0,83345,31733,7182,28786,1866,10302,8.769983537,41.27896625,0.166514148,30.0,0.4,104.4043842,0.019986563,0.233952123,0.434375071,1.148803098,0.012409786,28832769.88,795955.9848,0.0,0.060606061
AL,DeKalb,1.0,0.0,0.0,1.0,71430,26365,14106,33151,1406,10615,8.53784683,40.33404488,0.127590597,30.0,0.346428571,62.94485814,0.021651719,0.274542717,0.173827501,0.683410591,0.001607391,35939647.54,73341.71429,0.0,0.053571429
AL,Escambia,0.0,0.0,1.0,1.0,36775,12931,14684,16795,1405,5050,8.421667594,35.85893047,0.102900914,32.1875,0.471875,83.77020594,0.021066194,0.151633202,0.180895956,0.880552256,0.181875527,76518598.78,625777.7188,0.0,0.0625
AL,Houston,0.0,0.0,1.0,1.0,105319,39784,35979,39656,2646,9564,8.176133744,35.00983219,0.155222212,30.0,0.431506849,255.8954333,0.07838489,1.181648569,0.375926985,2.864692215,0.132218016,20571811.49,65690.61644,0.0,0.054794521
AL,Jackson,0.0,1.0,1.0,1.0,51765,20367,5567,22190,1082,6136,8.204057603,40.86776835,0.122199508,30.0,0.361363636,69.7851597,0.022592538,0.222641856,0.213050095,1.039816097,0.001192799,63455560.32,2871243.341,0.0,0.022727273
AL,Jefferson,0.0,1.0,1.0,1.0,658615,263801,331997,217732,20151,42690,9.762462773,42.55547591,0.400070518,40.37735849,0.52212693,632.4944002,0.122120086,0.769898451,2.144929314,3.32284645,0.146682053,4937996.813,56057.94854,0.003430532,0.113207547
AL,Lauderdale,0.0,1.0,1.0,1.0,92870,38513,14786,31544,2018,7296,8.041811893,38.82733664,0.18418839,30.0,0.402816901,191.9183508,0.022030718,0.873072495,0.674756191,1.52641136,0.004361787,24368291.25,1881779.507,0.0,0.056338028
AL,Lawrence,0.0,0.0,1.0,1.0,32969,12551,7745,11968,508,4497,8.341104772,39.64431548,0.118696358,30.0,0.4,40.46396333,0.018868472,0.069292046,0.060719928,0.362434242,0.003522835,57705301.55,2215557.613,0.0,0.0
AL,Lee,0.0,0.0,1.0,1.0,163461,60731,53754,58903,3707,9569,9.084095876,36.67440502,0.187948054,40.0,0.527906977,265.609637,0.010410472,0.38593636,0.905924914,2.348975358,0.002753657,12197892.11,166786.6977,0.0,0.062015504
AL,Limestone,0.0,0.0,1.0,1.0,96921,32725,23422,26697,2270,10012,8.384027998,41.21740935,0.199747683,30.0,0.4,84.79498445,0.036149194,0.327359712,0.299776541,1.175432816,0.234768817,27890325.27,2352126.808,0.0,0.134615385
AL,Madison,0.0,1.0,1.0,1.0,367686,151628,130905,91200,8515,21042,8.494901055,42.32410025,0.252965459,30.0,0.409387755,349.4740264,0.080995925,0.222129303,1.044064292,2.483534499,0.043679396,8474026.939,117494.0,0.008163265,0.126530612
AL,Marshall,0.0,0.0,1.0,1.0,96137,35115,18769,37273,1511,10726,8.643397205,41.27918307,0.132148011,30.0,0.4,140.1964007,0.021270995,0.996316054,0.714101265,0.948362042,0.092152393,19804484.23,2006695.446,0.0,0.121621622
AL,Mobile,0.0,1.0,1.0,1.0,413977,157557,180007,158214,10444,35527,8.960546138,37.68772541,0.369041726,31.68168168,0.455555556,381.3811988,0.035079347,0.784944146,1.645873932,2.936353884,1.236364298,9533126.165,3215602.308,0.005988024,0.155688623
AL,Monroe,0.0,0.0,1.0,1.0,21006,8050,9633,9382,1056,2429,8.60686514,34.92628304,0.076953506,30.95238095,0.438095238,7.770847548,0.015886405,0.438440264,0.034673591,1.198167412,0.000436115,126498555.8,1076651.476,0.0,0.0
AL,Montgomery,0.0,1.0,1.0,1.0,226451,89511,151304,82175,6841,19103,9.194415996,36.93257139,0.298998161,39.35960591,0.539408867,506.3160681,0.099416511,0.573116553,1.14044637,2.94920105,0.019351309,10019930.26,185796.6897,0.004926108,0.083743842
AL,Morgan,1.0,1.0,0.0,1.0,119352,46388,29515,40289,2602,13192,8.611202108,41.39666297,0.243899119,35.0,0.443181818,231.1677665,0.037846057,0.640002546,0.635262257,2.153156257,0.017019525,17060652.81,570416.4091,0.0,0.170454545
AL,Perry,0.0,0.0,1.0,1.0,9104,3140,6419,5348,308,1239,8.760148418,35.81217392,0.076980994,30.90909091,0.5,15.97616325,0.010440029,0.031747767,0.03876877,0.432878143,0.017974362,169448745.5,991109.7273,0.0,0.0
AL,Pike,0.0,0.0,1.0,1.0,33274,11700,14683,13421,721,2442,8.432844459,34.73857302,0.092341989,30.68965517,0.506896552,93.49520727,0.014601729,0.798886247,0.636107502,1.571385546,10.84749187,60022254.1,80660.17241,0.0,0.206896552
AL,Shelby,0.0,0.0,1.0,1.0,216350,80756,48970,39387,4238,10038,9.608325641,41.09316139,0.218406576,40.0,0.5,171.7787622,0.048641658,0.155279922,0.945976531,0.961462431,0.002093609,14848752.96,454662.5328,0.00729927,0.131386861
AL,St. Clair,1.0,1.0,1.0,1.0,88929,32765,12792,25270,2177,8873,9.212226108,41.46093765,0.190711202,36.06557377,0.467213115,88.27506422,0.077502309,0.228767081,0.350892849,0.876140432,0.009703128,26815733.31,925111.2295,0.0,0.098360656
AL,Tallapoosa,0.0,0.0,1.0,1.0,40450,16359,12631,16345,1903,5409,8.891661606,36.69499121,0.098504352,39.44444444,0.5,70.66638905,0.016528979,0.171897356,0.206189711,1.256095968,0.001242113,51549944.58,3577527.056,0.0,0.027777778
AL,Tuscaloosa,0.0,0.0,1.0,1.0,208854,74713,81352,70646,6170,13723,9.069948709,38.33236234,0.276008926,40.0,0.514666667,412.2840805,0.013439243,0.406635856,1.443522731,2.730729746,2.412447234,22806541.13,524682.0933,0.0,0.1
AL,Walker,0.0,0.0,1.0,1.0,63802,25440,7475,24738,1975,8185,8.91570237,40.36619275,0.150222197,34.83333333,0.473333333,47.53489754,0.020435916,0.284965508,0.202743594,0.741006242,0.276643178,34145961.67,611383.3833,0.0,0.033333333
AL,Washington,0.0,0.0,1.0,1.0,16336,5830,5683,6416,410,1577,8.794126941,34.97629844,0.076383716,31.66666667,0.483333333,19.07952856,0.093938054,0.201760822,0.114665682,0.106864507,0.014932044,155428497.2,1203335.0,0.111111111,0.111111111
AL,Winston,0.0,0.0,1.0,1.0,23712,9612,1531,10298,541,3706,8.398863638,39.16082214,0.086407315,30.0,0.4,23.63371454,0.01252121,0.062002312,0.330912111,0.403855844,1.140877202,63506298.8,1954954.68,0.0,0.08
AR,Arkansas,0.0,0.0,1.0,1.0,17761,7416,5515,6531,396,1731,8.786131624,40.56929057,0.119094173,30.0,0.4,69.89713903,0.014686592,0.375286014,0.022737872,0.834327689,0.000404385,183545160.6,8621298.571,0.0,0.0
AR,Ashley,0.0,0.0,1.0,1.0,20000,7716,6419,9046,349,2019,9.090004562,38.36241922,0.098960605,35.0,0.45,42.93277466,0.022432777,0.418985912,0.792091193,0.604485667,0.009544634,119850617.5,1932800.2,0.0,0.2
AR,Baxter,0.0,0.0,1.0,1.0,41673,18727,2808,15304,884,3597,8.401730484,39.86435658,0.103850388,71.66666667,0.5,115.7290785,0.013563919,0.343335637,0.263814187,0.675423794,0.000440082,47822021.37,2830236.0,0.0,0.066666667
AR,Conway,0.0,0.0,1.0,1.0,20895,8491,3887,9008,711,1955,9.252858099,40.23630768,0.158902365,40.0,0.5,88.83776188,0.021415273,0.231285417,0.036591786,0.606500111,0.015415602,89341155.0,2359846.563,0.0,0.0
AR,Craighead,0.0,0.0,1.0,1.0,109081,42203,27542,40027,3160,7407,8.985302718,43.45631652,0.221008914,30.0,0.423376623,212.1199729,0.010013146,0.777985039,1.004855707,1.222676254,0.063058964,23786123.04,186106.2987,0.0,0.12987013
AR,Crittenden,0.0,0.0,1.0,1.0,48381,19021,28434,21937,2114,5024,9.048963829,43.81766091,0.295969067,32.09302326,0.41627907,283.0010917,0.04743275,0.518885675,0.684258385,2.257335401,0.1385603,36914247.09,1899747.116,0.0,0.11627907
AR,Faulkner,0.0,0.0,1.0,1.0,124800,45091,25343,43159,2183,6140,9.636449174,41.52839149,0.239563449,39.05405405,0.525675676,193.9002997,0.028557881,0.542366729,0.518715257,1.346358957,0.006640276,22653518.15,589435.4865,0.0,0.040540541
AR,Fulton,0.0,0.0,1.0,1.0,12301,5014,681,5766,220,1398,8.47287,40.28731503,0.083020837,30.0,0.5,28.1942942,0.008000993,0.023719663,0.029127088,0.055368154,0.000771568,133392127.2,530646.9167,0.0,0.0
AR,Greene,0.0,0.0,1.0,1.0,45197,17587,3782,18388,1561,3337,8.892336603,43.72388282,0.171408811,30.0,0.4,117.0089642,0.013229673,0.648622052,1.128584012,1.344775526,0.003164241,48235622.35,170102.6774,0.0,0.193548387
AR,Hempstead,0.0,0.0,1.0,1.0,21695,8100,9913,9463,522,2297,9.547960315,39.71996248,0.128496126,40.0,0.5,57.72118872,0.022358583,0.138920337,0.094878969,0.614086848,0.003575514,94171927.35,1786895.4,0.0,0.05
AR,Howard,0.0,0.0,1.0,1.0,13267,5271,4805,6451,390,1226,9.388293406,39.76814989,0.104880254,33.33333333,0.466666667,0.0,0.017800227,0.625061781,0.374816923,0.499545075,0.006879782,126764048.6,1780146.75,0.0,0.166666667
AR,Jackson,0.0,0.0,1.0,1.0,16908,6241,3981,6969,666,2039,8.72073394,42.68947555,0.153584722,30.0,0.476470588,53.2131223,0.00874837,0.036932212,0.61505171,1.010580243,0.106241756,96532029.24,1193205.294,0.0,0.117647059
AR,Jefferson,0.0,0.0,1.0,1.0,68123,26630,42031,27321,2379,5815,9.325335535,40.14860676,0.177831917,32.3880597,0.488059701,181.619376,0.014004405,0.176619467,0.474437698,2.187842912,0.142683283,33722681.01,1687637.149,0.0,0.059701493
AR,Mississippi,0.0,0.0,1.0,1.0,41396,16623,17490,18568,1754,4840,8.577880672,44.45436377,0.17719093,30.0,0.4,80.91790753,0.015104232,0.612378669,0.223399658,1.205147942,0.005294995,53100225.77,1641468.386,0.0,0.159090909
AR,Phillips,0.0,0.0,1.0,1.0,18151,7561,11968,8975,1062,2200,8.649983596,40.38339611,0.127853764,30.0,0.375,79.080812,0.20281267,0.526119653,0.851136377,0.862991774,0.004611681,74501006.67,3998620.167,0.041666667,0.208333333
AR,Prairie,0.0,0.0,1.0,1.0,8138,3755,1265,3018,231,834,8.784082855,41.59912791,0.127820106,30.0,0.4,15.2154984,0.018345083,0.039129684,0.087707379,0.200054,0.000756995,167706989.8,7263819.3,0.0,0.1
AR,Pulaski,1.0,1.0,1.0,1.0,393078,161652,190287,137285,9635,23244,9.815294087,41.73080025,0.303607002,39.65156794,0.512891986,483.4847801,0.077754951,0.994426216,1.239410988,2.147792806,0.067266212,6843237.568,442469.9791,0.003484321,0.104529617
AR,Saline,0.0,0.0,1.0,1.0,120990,45098,20099,29909,2364,7328,9.57875398,40.51133709,0.180749121,39.14285714,0.5,178.626446,0.020939843,0.469540661,0.537142941,0.946078465,0.014284982,26770573.37,256507.9143,0.0,0.071428571
AR,Sebastian,1.0,1.0,0.0,1.0,127670,52026,39464,52587,3038,13516,9.835273699,40.64048999,0.2307342,37.98076923,0.535576923,320.897177,0.011936355,1.21853687,0.701716385,1.92506699,0.022858884,13228409.91,325518.9615,0.0,0.067307692
AR,Union,0.0,0.0,1.0,1.0,39089,15855,15386,15357,638,3612,9.698275342,38.01577288,0.104402424,48.33333333,0.535714286,98.71981943,0.22464318,1.29362679,0.691008148,1.174188134,1.579728892,64075506.5,1002434.976,0.047619048,0.19047619
AR,Washington,1.0,0.0,0.0,1.0,236198,89094,72176,84486,5272,20863,9.30122581,42.54704356,0.205438027,30.0,0.438926174,279.7259632,0.012280482,1.263940623,1.115830371,1.438763733,0.233688546,16365089.47,187551.2416,0.0,0.080536913
AR,Yell,0.0,0.0,1.0,1.0,21425,7797,5395,9468,350,3159,9.075949154,38.90331088,0.090899385,37.05882353,0.5,96.9734674,0.158664687,0.725028979,0.295962338,0.376808991,0.017418736,141719670.1,2728310.647,0.117647059,0.0
AZ,Apache,0.0,0.0,1.0,1.0,71714,21505,58721,42403,1963,8459,4.412195145,55.74103843,0.022391577,10.0,0.1,17.3240716,0.009952529,0.025248197,0.012952483,0.150027674,0.000393995,517919396.7,966977.3571,0.0,0.0
AZ,Cochise,0.0,0.0,1.0,1.0,126442,50917,57347,45845,3211,10009,5.433613024,50.92796647,0.062222495,18.66666667,0.195238095,121.1834674,0.033950981,0.064106996,0.080331728,1.288225141,0.683955298,153173124.8,168234.019,0.00952381,0.019047619
AZ,Coconino,0.0,0.0,1.0,1.0,142254,49016,65710,48765,5784,7597,4.838631399,53.97438532,0.098000264,14.56140351,0.175438596,314.0641088,0.009066222,0.180202186,0.649227483,2.586456226,0.716789561,422948556.1,1023082.649,0.0,0.043859649
AZ,La Paz,0.0,0.0,1.0,1.0,21035,9928,9007,10044,600,3245,6.285913113,47.01168039,0.060714746,20.0,0.228571429,128.0181646,0.007819357,0.056365275,0.211953535,1.134417121,0.013010148,401587905.9,1260401.034,0.0,0.103448276
AZ,Maricopa,1.0,1.0,1.0,1.0,4412779,1596784,2005381,1307963,114356,342904,8.111729687,55.61153399,0.423414501,38.29407566,0.445074946,766.8288027,0.09673943,0.863635489,2.047432522,1.797198544,1.660988734,8493417.935,22346.58909,0.001781896,0.076621525
AZ,Mohave,0.0,0.0,1.0,1.0,210998,90413,49169,78352,6122,22045,5.505552949,54.01840208,0.084858611,19.51807229,0.241566265,92.7900597,0.005037732,0.133447776,0.4801595,1.35508063,0.595549618,208012197.5,2008443.651,0.0,0.060240964
AZ,Navajo,0.0,0.0,1.0,1.0,110271,36406,64486,53005,4281,11620,4.631114644,55.16292727,0.048756543,11.97802198,0.168131868,137.9049309,0.005934494,0.052357787,0.097660256,1.588875097,0.001410096,283176494.9,265118.7582,0.0,0.010989011
AZ,Pima,0.0,1.0,1.0,1.0,1038476,410942,507332,361466,33203,76781,5.935193629,52.08441606,0.263591413,25.16666667,0.287222222,426.6764421,0.065793702,0.212393298,0.961163082,1.636732546,12.6898871,33053607.89,7100.025,0.001388889,0.038888889
AZ,Pinal,0.0,0.0,1.0,1.0,447559,148435,195851,135522,12760,40308,7.477870706,52.71848934,0.179509323,26.3876652,0.295154185,150.4573368,0.038569933,0.304600971,0.365179029,0.862200054,0.565669852,61224657.06,98433.36564,0.0,0.039647577
AZ,Santa Cruz,0.0,0.0,1.0,1.0,46594,16049,39579,23502,1624,6569,6.336115933,48.57730309,0.056321685,19.16666667,0.2,184.7025325,0.013959158,0.148481746,0.021232791,1.832834913,2.434362487,88940367.78,85228.80556,0.0,0.0
AZ,Yavapai,0.0,0.0,1.0,1.0,232396,101245,46215,73543,5591,14648,5.368612019,52.88290752,0.084540346,17.65714286,0.189142857,139.5949476,0.052207944,0.032042476,0.438092519,1.465191767,70.47445135,120217955.8,65791.84571,0.005714286,0.051428571
AZ,Yuma,0.0,0.0,1.0,1.0,211931,74624,147088,91415,7447,34280,8.34904268,46.2052624,0.241076958,32.02453988,0.338650307,269.1736505,0.12558019,1.276694782,0.394887297,2.344963695,0.013070901,86550150.24,80322.17576,0.006060606,0.036363636
CA,Alameda,1.0,1.0,1.0,1.0,1661584,573174,1153001,324428,43126,132307,12.78686918,32.30916462,0.344163152,29.68225949,0.396734334,2031.283974,0.151708918,0.902271189,6.532305945,5.588647431,0.010934803,1684318.653,191272.3175,0.003527337,0.149911817
CA,Amador,0.0,0.0,1.0,1.0,39023,14844,9062,7515,853,2711,10.73990575,55.44515547,0.061834123,30.0,0.406666667,116.8697325,0.188533265,0.460701183,0.134453913,0.12198889,0.023002786,51332192.57,981280.4333,0.033333333,0.133333333
CA,Butte,1.0,1.0,0.0,1.0,223344,83879,64420,82691,7687,15042,12.97179286,52.97148243,0.150323738,34.35,0.4625,412.5589916,0.072695131,0.350425294,1.611241695,0.246292313,1.569679157,21192443.49,526302.74,0.005,0.08
CA,Calaveras,0.0,0.0,1.0,1.0,45828,16958,9048,13269,949,3641,11.80996707,55.93392533,0.052991679,31.38888889,0.497222222,55.09576525,0.03725119,0.290438286,0.107206213,0.040377472,0.010725409,73384371.08,1216374.694,0.0,0.055555556
CA,Colusa,0.0,0.0,1.0,1.0,21491,7329,14009,7480,425,3728,11.19769048,47.64349745,0.086467373,30.0,0.4,348.1679295,0.020896782,0.662335105,0.123126008,0.388561948,2.013208851,149016636.4,730444.2,0.0,0.05
CA,Contra Costa,1.0,1.0,1.0,1.0,1147788,398299,658653,221840,32666,80257,13.53074072,35.81168149,0.25187576,30.0,0.414002829,1141.682305,0.113720454,0.868336855,3.356636038,1.229814804,15.83335682,2622653.26,318190.3715,0.002824859,0.138418079
CA,Del Norte,0.0,0.0,1.0,1.0,27692,9805,10764,9772,625,4008,9.3740979,31.60025879,0.022948333,34.44444444,0.633333333,102.3905038,0.011568402,0.010126236,0.180289956,0.670864628,0.0,137164107.1,30460138.58,0.0,0.052631579
CA,El Dorado,1.0,0.0,0.0,1.0,190345,73078,43426,37398,4197,8300,8.694368863,56.67019512,0.065742299,27.12418301,0.343137255,295.8628788,0.036662788,0.302151032,0.385853547,0.376231293,0.000719087,28722790.36,1320404.656,0.0,0.038961039
CA,Fresno,1.0,1.0,1.0,1.0,990204,310097,706035,422267,39697,138814,15.14467797,61.51831779,0.389459117,35.90266876,0.471585557,642.9445396,0.165688629,1.730091186,3.0654057,0.458031716,0.020799665,24226278.32,214458.2308,0.007849294,0.120879121
CA,Glenn,0.0,0.0,1.0,1.0,28060,10216,13762,11680,712,4608,11.41834901,48.98828717,0.120955936,30.0,0.4,208.1699277,0.017810908,0.657817599,1.438038165,1.026535956,20.90916326,126042974.1,1247901.63,0.0,0.222222222
CA,Humboldt,0.0,0.0,1.0,1.0,136101,54120,36240,53829,6074,8745,8.010363079,28.0597732,0.056849458,22.01754386,0.364912281,433.4735122,0.023748839,0.337743495,0.739198059,1.152626406,0.004872666,80361436.77,10901965.53,0.008695652,0.052173913
CA,Imperial,0.0,0.0,1.0,1.0,180580,45768,162187,79229,9444,32935,9.736822636,47.27692411,0.132565436,28.24561404,0.298245614,402.6463105,0.07430009,2.092986596,1.094651113,2.380585396,0.619083788,94864870.72,6931725.974,0.00877193,0.087719298
CA,Inyo,0.0,0.0,1.0,1.0,17930,7954,6980,4504,330,1246,6.535790664,52.40207165,0.019418069,12.5,0.175,162.2126954,0.007298759,0.032586686,0.018978042,1.125096779,5.84e-07,1650673941.0,4830058.625,0.0,0.0625
CA,Kern,0.0,1.0,1.0,1.0,892458,273556,595953,387912,34847,134122,13.24450891,64.37229514,0.346809827,28.21666667,0.385833333,342.796291,0.050979593,1.396884985,2.931417556,0.066776805,0.001285671,35114390.4,130679.58,0.003333333,0.156666667
CA,Kings,0.0,0.0,1.0,1.0,151090,43604,103373,56029,4952,24350,16.00899834,59.46986417,0.247988667,29.88095238,0.367857143,171.5302401,0.033879404,1.382458997,1.180097911,0.400658039,0.019713429,42888118.13,37670.11905,0.0,0.095238095
CA,Lake,0.0,0.0,1.0,1.0,64276,25508,19786,25014,2819,6403,10.20666458,42.52593621,0.032345283,28.81355932,0.366101695,119.5911871,0.121552073,0.124112114,0.055255318,0.105484331,0.0,55160215.25,3199122.271,0.016949153,0.016949153
CA,Lassen,0.0,0.0,1.0,1.0,30600,9172,10727,6339,541,4349,8.268795582,52.16377138,0.020987131,20.0,0.220833333,185.0464631,0.008106433,0.247910479,0.517308854,0.843036239,0.00083425,490084057.4,19292676.33,0.0,0.083333333
CA,Los Angeles,1.0,1.0,1.0,1.0,10040682,3332504,7437402,3283217,338720,1395909,12.08819867,49.92461696,0.453766535,34.19644215,0.457503421,2204.563679,0.229956107,1.608251075,8.743408612,1.879261864,8.455711092,1595128.372,271203.3843,0.002579275,0.136398119
CA,Madera,0.0,0.0,1.0,1.0,155925,44479,103816,62644,6270,27479,13.65583569,57.98798844,0.247918273,29.59183673,0.414285714,324.7581468,0.034731015,0.700760883,1.365231591,0.205360681,0.00031504,56475424.0,431345.2653,0.0,0.12244898
CA,Marin,1.0,1.0,1.0,1.0,259441,104900,76182,41629,6184,12137,11.06819659,29.07352874,0.100266718,22.94444444,0.38,1005.252097,0.058596177,0.20353719,2.244534349,0.798887022,0.36374959,7446905.011,4403744.077,0.0,0.127071823
CA,Mariposa,0.0,0.0,1.0,1.0,17319,7846,3653,6297,661,1232,12.1400365,57.49191146,0.037912754,28.82352941,0.358823529,23.14106089,0.017525687,0.024793523,0.196487623,0.082683849,0.010128124,220733940.3,2130639.118,0.0,0.058823529
CA,Mendocino,0.0,0.0,1.0,1.0,87110,34164,31263,33202,3536,8269,9.139718675,32.37141875,0.034169537,26.0,0.331764706,204.8317394,0.106701156,0.483766172,0.487296153,1.474129514,0.014635064,105612005.4,11183027.92,0.011627907,0.034883721
CA,Merced,0.0,0.0,1.0,1.0,273661,81306,200074,116266,12819,49104,14.53407425,55.9260913,0.31096616,28.7195122,0.395731707,331.3255775,0.11602637,0.670641313,0.96809111,1.642077922,2.811866429,30606141.05,641936.8049,0.006097561,0.067073171
CA,Modoc,0.0,0.0,1.0,1.0,8853,3594,2023,3619,290,1028,8.72370057,49.51195312,0.021057439,18.18181818,0.218181818,70.92119065,0.011660085,0.226083301,0.520730551,0.696902787,0.000112595,929625247.8,60045751.64,0.0,0.090909091
CA,Mono,0.0,0.0,1.0,1.0,14395,5196,5057,3622,202,1185,8.507542192,54.34456438,0.014097598,10.0,0.175,83.41231392,0.01406477,0.365744021,0.603486738,0.0,6.45e-06,493539045.6,13418479.81,0.0,0.125
CA,Monterey,1.0,1.0,1.0,1.0,432977,128003,305345,136649,10084,74661,7.134303536,33.60670379,0.115218233,19.88929889,0.273431734,569.7491648,0.089009162,2.151553385,1.341832559,1.143757507,5.125632724,31248614.09,4661007.309,0.007352941,0.069852941
CA,Napa,1.0,1.0,1.0,1.0,138572,48484,66755,27510,3350,14162,10.69332177,37.37115884,0.102958869,44.90740741,0.936111111,492.6027428,0.029467917,0.331464331,1.142334929,0.649795807,0.03125191,17944749.67,965394.5185,0.0,0.074074074
CA,Nevada,0.0,0.0,1.0,1.0,99417,40917,15100,24419,1851,4144,7.837319644,56.53304608,0.071037295,28.0,0.385,250.6024539,0.09943328,0.674179634,0.187488895,0.193599885,0.001317386,31007341.28,519149.9125,0.0125,0.0125
CA,Orange,1.0,1.0,1.0,1.0,3170345,1040001,1907705,756741,83099,304692,12.19265636,45.50672755,0.379024108,28.13964844,0.368164063,1907.923925,0.149531084,1.117716216,7.922194366,1.622335533,1.786024484,1002171.539,198288.9771,0.001464129,0.166422645
CA,Placer,1.0,0.0,1.0,1.0,391799,145714,111533,65408,7917,13573,10.61131268,55.22931786,0.203445445,32.77777778,0.461111111,372.4061418,0.05130725,0.618028402,1.595171693,0.166707891,0.058084097,14404372.43,974176.3676,0.0,0.083003953
CA,Plumas,0.0,0.0,1.0,1.0,18844,8332,3343,5348,524,771,8.661656471,53.59131753,0.029083989,26.36363636,0.431818182,0.0,0.012502301,0.021042751,0.233053867,0.144533047,0.00068228,300563671.5,7108529.0,0.0,0.045454545
CA,Riverside,1.0,1.0,1.0,1.0,2437864,736413,1600017,762538,82367,273740,10.28634819,61.64702371,0.297762132,29.32568149,0.353945481,547.6824795,0.09380443,0.932146164,2.196903259,0.386508154,0.747530374,13394491.51,174462.9225,0.00215208,0.108321377
CA,Sacramento,1.0,1.0,1.0,1.0,1537948,547519,865983,472323,48974,125811,13.5033012,50.37723764,0.287477825,37.64648438,0.537109375,1049.759611,0.155113629,1.329893988,3.146014347,0.844710459,4.706028813,2441445.721,73580.10645,0.00390625,0.092773438
